# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| et-reg/negative              | batch  | IDENTICAL x3 | b66d6fad4eb27ee4 | b66d6fad4eb27ee4 | b66d6fad4eb27ee4 |
| et-reg/odd                   | batch  | IDENTICAL x3 | 8716211bd7b6727f | 8716211bd7b6727f | 8716211bd7b6727f |
| et-reg/ties                  | batch  | IDENTICAL x3 | c46241fb51ef3d87 | c46241fb51ef3d87 | c46241fb51ef3d87 |
| et-reg/wide                  | batch  | IDENTICAL x3 | 3faffd9a3037b28e | 3faffd9a3037b28e | 3faffd9a3037b28e |
| gbdt-adapter-clf/base        | batch  | IDENTICAL x3 | 984baeb0cccbd21e | 984baeb0cccbd21e | 984baeb0cccbd21e |
| gbdt-adapter-clf/denormal    | batch  | IDENTICAL x3 | 984baeb0cccbd21e | 984baeb0cccbd21e | 984baeb0cccbd21e |
| gbdt-adapter-clf/denormal_ftz | batch  | IDENTICAL x3 | 984baeb0cccbd21e | 984baeb0cccbd21e | 984baeb0cccbd21e |
| gbdt-adapter-clf/dupes       | batch  | IDENTICAL x3 | 832f98d68d745aec | 832f98d68d745aec | 832f98d68d745aec |
| gbdt-adapter-clf/hashed      | batch  | IDENTICAL x3 | 0003824fb96636b7 | 0003824fb96636b7 | 0003824fb96636b7 |
| gbdt-adapter-clf/negative    | batch  | IDENTICAL x3 | f2ca7ffadecb0625 | f2ca7ffadecb0625 | f2ca7ffadecb0625 |
| gbdt-adapter-clf/odd         | batch  | IDENTICAL x3 | 38ba96eea94d8ea9 | 38ba96eea94d8ea9 | 38ba96eea94d8ea9 |
| gbdt-adapter-clf/ties        | batch  | IDENTICAL x3 | 14399e0cd5893cd4 | 14399e0cd5893cd4 | 14399e0cd5893cd4 |
| gbdt-adapter-clf/wide        | batch  | IDENTICAL x3 | 24653b9a06a6071a | 24653b9a06a6071a | 24653b9a06a6071a |
| gbdt-adapter-reg/base        | batch  | IDENTICAL x3 | 3a53a53abfe321f6 | 3a53a53abfe321f6 | 3a53a53abfe321f6 |
| gbdt-adapter-reg/denormal    | batch  | IDENTICAL x3 | 24d0e532611fba96 | 24d0e532611fba96 | 24d0e532611fba96 |
| gbdt-adapter-reg/denormal_ftz | batch  | IDENTICAL x3 | 24d0e532611fba96 | 24d0e532611fba96 | 24d0e532611fba96 |
| gbdt-adapter-reg/dupes       | batch  | IDENTICAL x3 | 17cffc317f1b3c99 | 17cffc317f1b3c99 | 17cffc317f1b3c99 |
| gbdt-adapter-reg/hashed      | batch  | IDENTICAL x3 | 15a568bd232c8fbd | 15a568bd232c8fbd | 15a568bd232c8fbd |
| gbdt-adapter-reg/negative    | batch  | IDENTICAL x3 | 36bc296fc8f0a3cf | 36bc296fc8f0a3cf | 36bc296fc8f0a3cf |
| gbdt-adapter-reg/odd         | batch  | IDENTICAL x3 | 6b459ed54f82865a | 6b459ed54f82865a | 6b459ed54f82865a |
| gbdt-adapter-reg/ties        | batch  | IDENTICAL x3 | 1681c6f968f338d2 | 1681c6f968f338d2 | 1681c6f968f338d2 |
